element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Cr,1,4424.91,7wh*,,,3.37521461,6.17720772,3d5.(4P).4s,b 3P,2,3d4.(3P1).4s.4p.(3P*),y 5S*,2,,,L808
Cr,1,4424.91,7wh*,,,4.1860366,6.9879748,3d5.(2I).4s,b 1I,6,3d5.(4F).4p,v 5G*,5,,,L808
K,2,4424.97,3,7.76e+06,,20.448453,23.250385,3p5.3d,3P*,2,3p5.4p,3D,1,,T8304,L3490
Fe,1,4425.0827,427,1.8e+06,D,3.65369332,6.45554341,3d6.(5D).4s.4p.(3P*),z 5P*,2,3d6.(5D).4s (6D).4d,e 5P,2,,T2578n,L11631
Fe,2,4425.149,11,,,11.3538714,14.1556755,3d6.(5D).5p,w 6P*,5/2,3d6.(5D).6d,6D,7/2,,,L18349c139
V,1,4425.1522,100000,,,2.63784466,5.4396510,3d4.(3G).4s,2G,9/2,3d4.(1G2).4p,t 2F*,7/2,,,L15916
Fe,2,4425.271,12,,,11.2377818,14.0395114,3d6.(5D).5p,4D*,5/2,3d6.(5D).7s,4D,5/2,,,L18349c139
Fe,1,4425.310,120,2.37e+05,C,3.64164057,6.44334733,3d6.4s2,b 3D,3,3d7.(2P).4p,u 3D*,3,,T6110,L11631
Mg,3,4425.313,2,,,69.69599,72.49770,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,2s2.2p5.(2P*<1/2>).4d,2[5/2]*,3,,,L1434
Cr,1,4425.3180,16,5.7e+06,D,2.91511324,5.71681492,3d4.4s2,a 3P,1,3d5.(4P).4p,y 3D*,2,,T3963,L14866
Fe,1,4425.4299,251,,,3.54652001,6.34815078,3d7.(2D2).4s,a 1D,2,3d7.(2D2).4p,v 3F*,2,,,L11631
Cr,1,4425.5207,56,2.1e+07,D,3.01062753,5.8122004,3d5.(4D).4s,b 5D,4,3d5.(4P).4p,u 5P*,3,,T3963,L14866
Ca,3,4425.568,13,,,42.055203,44.856749,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,,,L1405
Ti,1,4425.627,52,,,2.4268635,5.22837020,3d2.(3F).4s.4p.(3P*),z 3F*,4,3d2.4s.(4F).4d,3G,5,,,L10989
Ti,3,4425.641,9,1.5e+07,D,19.836423,22.637918,3p6.3d.4f,3P*,2,3p6.3d.(2D<5/2>).5g,2[5/2],3,,T1216,L3593
Cr,1,4425.739,1,,,2.98716595,5.78860234,3d4.4s2,a 3P,2,3d4.(3G).4s.4p.(3P*),w 5F*,3,,,L14866
V,1,4425.8093,210000,,,1.37629850,4.17768811,3d3.4s2,a 2G,9/2,3d3.(2G).4s.4p.(3P*),z 2H*,11/2,,,L15916
Ne,1,4426.0490,3000,,,18.38162323,21.18286278,2s2.2p5.(2P*<3/2>).3p,2[1/2],1,2s2.2p5.(2P*<3/2>).6d,2[1/2]*,1,,,L4498
Cr,2,4426.1313,13,,,11.74740732,14.54859386,3d4.(5D).5p,4F*,9/2,3d4.(5D).6d,4G,11/2,,,L18847
Cr,1,4426.3695,19,,,3.10437812,5.90541387,3d5.(4G).4s,a 3G,5,3d4.(3H).4s.4p.(3P*),z 3I*,6,,,L14866
Sc,1,4426.518,2,,,2.3378131,5.138753,4s2.4p,2P*,3/2,3d.4s.(3D).4d,4P,1/2,,,L4189c12
Ne,1,4426.6426,1500,,,18.38162323,21.1824863,2s2.2p5.(2P*<3/2>).3p,2[1/2],1,2s2.2p5.(2P*<3/2>).6d,2[1/2]*,0,,,L7292
Ca,1,4426.68,25,4.98e+07,C,1.8793402,4.6801799,3p6.4s.4p,3P*,0,3p6.4s.4d,3D,1,,T8043,L6097
Fe,5,4426.8,73,1.9e-01,C+,3.73778,6.53801,3d4,3G,4,3d4,1F,3,M1,T9277,L16109
Cr,1,4426.85,2,,,3.37521461,6.1759542,3d5.(4P).4s,b 3P,2,3d5.(4D).4p,t 5P*,3,,,L808
Fe,1,4426.899,200,,,3.57321890,6.37391903,3d7.(2H).4s,a 1H,5,3d6.(3G).4s.4p.(3P*),x 3H*,4,,,L11631
V,1,4426.9532,430000,,,1.3505004,4.1511678,3d3.4s2,a 2G,7/2,3d3.(2G).4s.4p.(3P*),y 2F*,7/2,,,L15916
Fe,1,4426.995,89,,,3.26570610,6.06634697,3d6.(5D).4s.4p.(3P*),z 5D*,2,3d7.(4F).5s,e 3F,2,,,L11631
Ti,1,4427.067,140,,,1.06655474,3.8671501,3d2.4s2,a 3P,2,3d2.(3P).4s.4p.(3P*),v 3D*,2,,,L10989
V,1,4427.2406,2900000,6.6e+06,B+,0.28657323,3.0870583,3d4.(5D).4s,a 6D,7/2,3d4.(5D).4p,y 6F*,5/2,,T9399,L15916
Ar,2,4427.24360,1514,8.17e+07,A,16.74852891,19.549011775,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,5/2,,T926,L11520
Ti,1,4427.298,480,,,1.87920395,4.6796549,3d3.(2G).4s,a 3G,4,3d3.(2D2).4p,u 3F*,3,,,L10989
Cr,1,4427.896,8*,,,5.2385978,8.038675,3d4.(3H).4s.4p.(3P*),z 5H*,6,3d4.4s.5s,e 5H,6,,,L808
Cr,1,4427.896,8*,,,2.98716595,5.78723069,3d4.4s2,a 3P,2,3d4.(3G).4s.4p.(3P*),w 5F*,2,,,L808
Ne,8,4428.0,20,,,1130.530,1133.329,1s.2s.(3S).8f,4F*,,1s.2s.(3S).9d,4D,,,,L9090
Cr,1,4428.26,1,,,3.11278390,5.9126191,3d4.4s2,a 3F,3,3d4.(3G).4s.4p.(3P*),x 5H*,4,,,L808
Ti,1,4428.341,2900,,,1.5024892,4.3022783,3d2.4s2,a 1G,4,3d3.(2G).4p,z 1H*,5,,,L10989
Ne,2,4428.351,60,,,34.7480986,37.5478811,2s2.2p4.(3P).3d,2F,7/2,2s2.2p4.(3P<2>).4f,2[3]*,5/2,,,L1406
V,1,4428.5305,400000,8.e+07,D+,2.67846275,5.4781316,3d4.(1G2).4s,b 2G,9/2,3d4.(1G2).4p,t 2H*,11/2,,T9771,L15916
Fe,1,4428.5527,117000,3.41e+04,A,0.05156912,2.85122419,3d6.4s2,a 5D,3,3d6.(5D).4s.4p.(3P*),z 7F*,4,,T3547,L11631
F,3,4428.59,120w,,,,,,,,,,,,,L767
Cr,1,4428.952,10,,,3.01279642,5.8122004,3d5.(4D).4s,b 5D,2,3d5.(4P).4p,u 5P*,3,,,L808
Ne,1,4428.998,300,,,18.69335943,21.492758,2s2.2p5.(2P*<1/2>).3p,2[3/2],1,2s2.2p5.(2P*<1/2>).9d,2[3/2]*,1,,,L3469
Ti,2,4429.12,:,6.3e+04,D,1.24291690,4.04221051,3d2.(3P).4s,b 4P,5/2,3d2.(3F).4p,z 4D*,3/2,,T4502,
Ne,1,4429.224,150,,,18.69335943,21.492594,2s2.2p5.(2P*<1/2>).3p,2[3/2],1,2s2.2p5.(2P*<1/2>).9d,2[5/2]*,2,,,L3469
Mg,2,4429.237,8,1.05e+07,A,9.995544,12.794766,2p6.4p,2P*,1/2,2p6.6s,2S,1/2,,c31,L7414
P,3,4429.414,200,,,,,,,,,,,,,L4134
Ti,3,4429.541,8,,,19.850442,22.649467,3p6.3d.4f,3P*,1,3p6.3d.(2D<5/2>).5g,2[3/2],1,,,L3593
Ti,3,4429.541,8,,,19.850442,22.649499,3p6.3d.4f,3P*,1,3p6.3d.(2D<5/2>).5g,2[3/2],2,,,L3593
Ne,2,4429.6509,160bl,,,34.7489205,37.5478811,2s2.2p4.(3P).3d,2D,5/2,2s2.2p4.(3P<2>).4f,2[3]*,5/2,,,L9088
Cr,1,4429.7468,17,5.5e+06,D,3.01329987,5.8122004,3d5.(4D).4s,b 5D,3,3d5.(4P).4p,u 5P*,3,,T3963,L14866
V,1,4429.7531,2000000,4.13e+06,B+,0.26696538,3.06586155,3d4.(5D).4s,a 6D,3/2,3d4.(5D).4p,z 6P*,5/2,,T9399,L15916
Ne,2,4429.763,200bl*,,,37.9693434,40.7682429,2s2.2p4.(1D).3d,2D,5/2,2s2.2p4.(1D<2>).4f,2[3]*,7/2,,,L5951
Ne,2,4429.763,200bl*,3.3e+07,D,34.84277499,37.6416644,2s2.2p4.(3P).3d,2F,5/2,2s2.2p4.(3P<1>).4f,2[3]*,5/2,,"T1115CA,LS",L5951
Ne,2,4429.763,200bl*,,,34.7489205,37.5478097,2s2.2p4.(3P).3d,2D,5/2,2s2.2p4.(3P<2>).4f,2[3]*,7/2,,,L5951
Fe,1,4429.810,110,,,3.94332623,6.74218434,3d6.(5D).4s.4p.(3P*),z 3F*,3,3d7.(4F).4d,e 3G,3,,,L11631
Ne,2,4429.8794,200bl,,,34.84277499,37.6415915,2s2.2p4.(3P).3d,2F,5/2,2s2.2p4.(3P<1>).4f,2[3]*,7/2,,,L9088
Sc,1,4430.135,4,,,2.6143096,5.412964,3d.4s.(1D).4p,2F*,7/2,4s2.4d,2D,5/2,,,L4189c12
Fe,1,4430.431,195,,,3.92860683,6.72707289,3d6.(5D).4s.4p.(3P*),z 3D*,2,3d7.(4F).4d,g 5F,2,,,L11631
Ne,1,4430.654,10,,,18.72638145,21.524712,2s2.2p5.(2P*<1/2>).3p,2[1/2],1,2s2.2p5.(2P*<1/2>).10d,2[3/2]*,2,,,L3469
Cr,1,4430.78,5wh,,,2.91511324,5.71334746,3d4.4s2,a 3P,1,3d4.(3F1).4s.4p.(3P*),w 5D*,0,,,L808
Ne,2,4430.884,180,,,34.7480986,37.5462806,2s2.2p4.(3P).3d,2F,7/2,2s2.2p4.(3P<2>).4f,2[4]*,7/2,,,L1406
V,1,4431.0331,1400000,2.21e+06,B+,0.30063800,3.09872579,3d4.(5D).4s,a 6D,9/2,3d4.(5D).4p,y 6F*,7/2,,T9627,L15916
Cr,1,4431.1677,12,2.4e+07,D,3.55579538,6.3537986,3d5.(4D).4s,a 3D,1,3d5.(4D).4p,w 3P*,1,,T3963,L14866
Ti,1,4431.261,47,,,2.4079690,5.20591373,3d2.(3F).4s.4p.(3P*),z 3F*,3,3d2.4s.(4F).4d,g 3F,3,,,L10989
Ar,2,4431.43240,661,5.69e+07,A,16.81247225,19.61030789,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4D*,3/2,,T926,L11520
Fe,1,4431.4327,1120,2.00e+06,E,3.01725044,5.81508605,3d7.(2P).4s,c 3P,2,3d6.(3P2).4s.4p.(3P*),y 3P*,1,,T5720,L11631
Ti,1,4431.608,230*,,,3.1794137,5.9771402,3d3.(4F).4p,y 3D*,3,3d2.4p2,5F,3,,,L10989
Ti,1,4431.608,230*,,,1.44315262,4.2408776,3d3.(4F).4s,b 3F,3,3d2.(1G).4s.4p.(3P*),v 3F*,4,,,L10989
Fe,2,4431.6826,50,,,11.1638849,13.9615627,3d6.(5D).5p,4F*,9/2,3d6.(5D).7s,6D,7/2,,,L18349c139
Cr,1,4431.7132,30,,,3.55614020,6.3537986,3d5.(4D).4s,a 3D,2,3d5.(4D).4p,w 3P*,1,,,L14866
V,1,4431.743,120000,1.14e+07,C+,1.89331087,4.69095021,3d4.(3P2).4s,b 4P,3/2,3d4.(3P2).4p,t 4D*,3/2,,T9399,L15916
Sc,1,4431.764,4,,,2.6077264,5.405356,3d.4s.(1D).4p,2F*,5/2,4s2.4d,2D,3/2,,,L4189c12
Fe,1,4431.8577,4170,7.45e+06,B,2.22271209,5.02027939,3d7.(4P).4s,a 5P,1,3d6.(5D).4s.4p.(1P*),x 5D*,0,,T4187,L11631
Ti,3,4431.879,2,,,16.903973,19.701529,3p6.3d.4d,1G,4,3p6.3d.4f,3G*,5,,,L3593
Ne,2,4432.1459,300bl,,,34.83299812,37.6303838,2s2.2p4.(3P).3d,4F,3/2,2s2.2p4.(3P<1>).4f,2[2]*,5/2,,,L5951
Ne,2,4432.1858,300bl,,,34.7489205,37.5462806,2s2.2p4.(3P).3d,2D,5/2,2s2.2p4.(3P<2>).4f,2[4]*,7/2,,,L5951
Ar,2,4432.24001,251,1.09e+07,B,16.42557623,19.222902151,3s2.3p4.(3P).3d,4D,5/2,3s2.3p4.(3P).4p,4P*,5/2,,T926,L11520
S,2,4432.251,15,8.76e+07,D,17.807052,20.604372,3s2.3p2.(1D).4p,2P*,3/2,3s2.3p2.(1D).4d,2P,3/2,,"u20,LS",L5883
Fe,3,4432.259,190,,,8.247838,11.045157,3d5.(4P).4s,5P,2,3d5.(6S).4p,5P*,3,,,L1171
Ne,2,4432.349,12,2.1e+07,D,34.83299812,37.6302529,2s2.2p4.(3P).3d,4F,3/2,2s2.2p4.(3P<1>).4f,2[2]*,3/2,,"T1115CA,LS",L1406
Ti,1,4432.520,91,,,2.2311560,5.0283049,3d3.(2P).4s,b 3P,0,3d3.(4P).4p,r 3D*,1,,,L10989
Ca,3,4432.542,600,1.90e+08,B,40.352848,43.149989,3s2.3p5.(2P*<3/2>).4d,2[5/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[7/2],3,,u33,L1405
Sc,2,4432.606,8,7.3e+05,C+,0.605486,3.402586,3p6.3d2,3F,3,3p6.3d.4p,3F*,2,,T5448,L5141
B,2,4432.7,14*,,,24.85612,27.65337,1s2.2p.3d,3D*,1,1s2.2p.4f,3F,2,,,L12120
B,2,4432.7,14*,,,24.85659,27.65337,1s2.2p.3d,3D*,2,1s2.2p.4f,3F,3,,,L12120
B,2,4432.7,14*,,,24.85725,27.65337,1s2.2p.3d,3D*,3,1s2.2p.4f,3F,4,,,L12120
Ne,2,4433.054,160*,,,37.9405355,40.737348,2s2.2p4.(1D).3d,2S,1/2,2s2.2p4.(1D<2>).4f,2[1]*,1/2,,,L1406
Ne,2,4433.054,160*,,,37.9405355,40.7373472,2s2.2p4.(1D).3d,2S,1/2,2s2.2p4.(1D<2>).4f,2[1]*,3/2,,,L1406
Ti,2,4433.34,:,1.3e+06,D,1.23686629,4.03349786,3d3,a 2P,3/2,3d2.(3F).4p,z 4D*,1/2,,T2403n,
Cr,1,4433.4107,66,1.8e+07,D,2.87187333,5.66846045,3d4.4s2,a 3P,0,3d5.(4P).4p,y 3P*,1,,T4288,L14866
Na,1,4433.5,310,1.4e+07,D,32.7002,35.4967,2p5.(2P*).3s.3p.(3P*),4S,3/2,2p5.3s.(3P*).4s,4P*,5/2,,T5209,L6269
Ne,2,4433.547,160,,,37.9717422,40.7682421,2s2.2p4.(1D).3d,2D,3/2,2s2.2p4.(1D<2>).4f,2[3]*,5/2,,,L1406
F,3,4433.56,120w,,,,,,,,,,,,,L767
S,2,4433.616,18,2.9e+07,E,15.867044,18.663504,3s2.3p2.(3P).4p,4D*,3/2,3s2.3p2.(3P).5s,4P,3/2,,"T1619CA,LS",L5883
Ne,1,4433.7611,200,,,18.55510805,21.3514758,2s2.2p5.(2P*<3/2>).3p,2[5/2],3,2s2.2p5.(2P*<3/2>).8d,2[5/2]*,3,,,L4498
Fe,1,4433.8120,810,8.4e+05,D,3.57321890,6.36955305,3d7.(2H).4s,a 1H,5,3d7.(2H).4p,u 3G*,5,,T2578n,L11631
Ti,1,4433.837,42,,,2.4079690,5.20428941,3d2.(3F).4s.4p.(3P*),z 3F*,3,3d2.4s.(4F).4d,3G,4,,,L10989
N,2,4433.98,285,,,,,,,,,,,,,L3513
Cr,1,4434.0035,6,4.9e+07,D,5.2553505,8.0515637,3d4.(3H).4s.4p.(3P*),z 5H*,7,3d4.4s.5s,e 5H,7,,T3963,L14866
Al,2,4434.06,5,,,15.472500,18.268659,3s.4d,1D,2,3s.10f,1F*,3,,,L3471
V,1,4434.129,200000,,,1.08061491,3.8767492,3d4.(5D).4s,a 4D,7/2,3d3.(2G).4s.4p.(3P*),x 4F*,7/2,,,L15916
Fe,5,4434.1,m(Fe II):,5.1e-01,D+,8.83763,11.63375,3d4,1G1,4,3d4,1D1,2,E2,T9277,L18479
Fe,1,4434.4631,3720,2.1e+07,D,3.65369332,6.44961696,3d6.(5D).4s.4p.(3P*),z 5P*,2,3d6.(5D).4s (6D).4d,e 5P,1,,T2578n,L11631
Sc,2,4434.527,0,,,6.907824,9.70371,3p6.4s.4p,1P*,1,3p6.4s.5s,3S,1,,,L5141
Ne,1,4434.643,100,,,18.55510805,21.3509183,2s2.2p5.(2P*<3/2>).3p,2[5/2],3,2s2.2p5.(2P*<3/2>).8d,2[3/2]*,2,,,L3469
Cr,1,4434.65,1,,,5.2385978,8.0344232,3d4.(3H).4s.4p.(3P*),z 5H*,6,3d4.4s.5s,e 5H,5,,,L808
Ti,1,4434.811,55,,,2.3957447,5.19144952,3d2.(3F).4s.4p.(3P*),z 3F*,2,3d2.4s.(4F).4d,g 3F,2,,,L10989
Ne,1,4434.9687,700,,,18.55510805,21.35071290,2s2.2p5.(2P*<3/2>).3p,2[5/2],3,2s2.2p5.(2P*<3/2>).8d,2[7/2]*,4,,,L3451
Fe,1,4435.0269,1230,2.62e+06,B,3.60252504,6.39809335,3d6.(5D).4s.4p.(3P*),z 5P*,3,3d6.(5D).4s (6D).4d,f 5F,3,,T5720,L11631
Ar,2,4435.08256,120,,,21.36689104,24.16242396,3s2.3p4.(1D).3d,2D,5/2,3s2.3p4.(3P<2>).4f,2[3]*,7/2,,,L11520
Ti,3,4435.157,11,1.8e+08,D,19.844278,22.639758,3p6.3d.4f,1H*,5,3p6.3d.(2D<5/2>).5g,2[13/2],6,,T1216,"L3593,L11926"
Cr,1,4435.1978,9,,,3.01279642,5.80825650,3d5.(4D).4s,b 5D,2,3d4.(3H).4s.4p.(3P*),z 3G*,3,,,L14866
Ti,1,4435.209,210,,,1.42975614,4.2252086,3d3.(4F).4s,b 3F,2,3d2.(1G).4s.4p.(3P*),v 3F*,3,,,L10989
Mg,2,4435.235,9,2.10e+07,A,9.999328,12.794766,2p6.4p,2P*,3/2,2p6.6s,2S,1/2,,c31,L7414
Ti,1,4435.262,400,,,1.87316703,4.6685866,3d3.(2G).4s,a 3G,3,3d3.(2D2).4p,u 3F*,2,,,L10989
Mn,2,4435.3073,60,,,6.5732936,9.3686847,3d6,c 3P,1,3d5.(4D).4p,y 3P*,0,,,"L11924,L562"
Ti,1,4435.611,26,,,2.3957447,5.19094329,3d2.(3F).4s.4p.(3P*),z 3F*,2,3d2.4s.(4F).4d,3G,3,,,L10989
Cr,1,4435.719,8,,,4.41612877,7.2112652,3d6,c 5D,1,3d5.(2F1).4p,s 3F*,2,,,L808
V,1,4435.8396,370000,1.94e+07,B,1.93068628,4.72574253&dagger;,3d4.(3P2).4s,b 4P,5/2,3d4.(3P2).4p,t 4D*,7/2,,T9399,L15916
Cr,1,4435.9981,4,,,3.01329987,5.80825650,3d5.(4D).4s,b 5D,3,3d4.(3H).4s.4p.(3P*),z 3G*,3,,,L14866
Ca,1,4436.21,26,6.7e+07,C,1.8858075,4.6806350,3p6.4s.4p,3P*,1,3p6.4s.4d,3D,2,,T8043,L6097
Ne,1,4436.339,50,,,18.63679156,21.431537,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<1/2>).9s,2[1/2]*,1,,,L3469
Fe,1,4436.3938,4900,4.72e+03,A,0.08728574,2.88199261,3d6.4s2,a 5D,2,3d6.(5D).4s.4p.(3P*),z 7F*,1,,T3547,L11631
Na,2,4436.43,60,,,,,,,,,,,,,L914
Fe,2,4436.5105,50,,,11.1669291,13.9615627,3d6.(3F1).4p,4G*,9/2,3d6.(5D).7s,6D,7/2,,,L18349c139
V,1,4436.619,94000,,,1.37629850,4.17086315,3d3.4s2,a 2G,9/2,3d3.(2G).4s.4p.(3P*),z 2H*,9/2,,,L15916
O,2,4436.751,7,,,28.955839,31.7503204,2s2.2p2.(3P).3d,2P,1/2,2s2.2p2.(3P).4f F,2[2]*,3/2,,,L10621
Ca,1,4436.94,25,3.42e+07,C,1.8858075,4.6801799,3p6.4s.4p,3P*,1,3p6.4s.4d,3D,1,,T8043,L6097
V,1,4437.3780,2700000,1.00e+07,B+,0.26188959,3.05597666,3d4.(5D).4s,a 6D,1/2,3d4.(5D).4p,z 6P*,3/2,,T9399,L15916
Al,4,4437.40,7,,,99.84568,102.63969,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,2s2.2p5.(2P*<1/2>).4p,2[3/2],1,,,L2829
Mn,1,4437.60,210,4.37e+07,B,2.919729,5.713674,3d6.(5D).4s,a 4D,5/2,3d6.(5D).4p,z 4D*,3/2,,T4649,L3475
V,2,4437.633,200,,,6.29536571,9.0892902,3d3.(2P).4p,y 3D*,2,3d3.(4F).4d,3D,2,,,L10089c179
Cr,1,4437.69,7,,,3.89227274,6.686159,3d5.(4F).4s,a 5F,5,3d3.(4F).4s2.4p,v 3G*,4,,,L808
Fe,3,4437.716,26,,,13.585070,16.378947,3d5.(b 2D).4s,1D,2,3d5.(a 2D).4p,3F*,2,,,L1171
Mg,2,4437.732,5,6.38e+06,B+,11.569039,14.362900,2p6.4d,2D,5/2,2p6.9f,2F*,7/2,,c31,L7414
Cr,1,4437.74,7wh*,,,3.32122225,6.1150957,3d5.(6S).4p,z 5P*,3,3d5.(6S).7s,g 5S,2,,,L808
Cr,1,4437.74,7wh*,,,3.11278390,5.90661499,3d4.4s2,a 3F,3,3d4.(5D).4s.5p.(3P*),v 5F*,4,,,L808
Ti,1,4437.832,140,,,1.87920395,4.6730050,3d3.(2G).4s,a 3G,4,3d3.(2G).4p,v 3G*,5,,,L10989
Mg,2,4437.844,4,5.95e+06,B+,11.569103,14.362900,2p6.4d,2D,3/2,2p6.9f,2F*,5/2,,c31,L7414
Ti,1,4437.921,45,,,2.4268635,5.22060940,3d2.(3F).4s.4p.(3P*),z 3F*,4,3d2.4s.(4F).4d,g 3F,4,,,L10989
V,1,4438.114,4100,,,2.6838140,5.4774405,3d4.(1G2).4s,b 2G,7/2,3d4.(3D).4p,4F*,9/2,,,L4235
Fe,1,4438.1660,1100,2.82e+05,C,3.04686890,5.84045966,3d7.(2G).4s,a 1G,4,3d6.(3H).4s.4p.(3P*),z 3H*,4,,T5720,L11631
Ne,2,4438.225,100,,,36.00153059,38.7950853,2s2.2p4.(3P).4p,4P*,5/2,2s2.2p4.(3P).6s,4P,5/2,,,L1406
V,1,4438.61,6700,,,1.85987915,4.65316590,3d4.(3H).4s,a 4H,11/2,3d4.(3H).4p,z 2I*,11/2,,,L4235
He,1,4438.797,3,3.2689e+06,AAA,[21.2180230218],[24.0112153129],1s.2p,1P*,1,1s.5s,1S,0,,T8636c73,L14925c72
S,2,4438.901,11,3.49e+07,E,17.807052,20.600174,3s2.3p2.(1D).4p,2P*,3/2,3s2.3p2.(1D).4d,2P,1/2,,"u20,LS",L5883
V,1,4439.0763,4000000,8.3e+06,B+,0.28657323,3.07959118,3d4.(5D).4s,a 6D,7/2,3d4.(5D).4p,z 6P*,7/2,,T9399,L15916
Ar,2,4439.3633,7,,,21.36689104,24.15972864,3s2.3p4.(1D).3d,2D,5/2,3s2.3p4.(3P<2>).4f,2[3]*,5/2,,,L2634
Ti,1,4439.467,48,,,2.24972874,5.0425005,3d3.(2P).4s,b 3P,2,3d3.(4P).4p,r 3D*,2,,,L10989
Cr,1,4439.48,5wh*,,,3.11278390,5.90557531,3d4.4s2,a 3F,3,3d4.(5D).4s.5p.(3P*),v 5F*,2,,,L808
Cr,1,4439.48,5wh*,,,3.32231395,6.1150957,3d5.(6S).4p,z 5P*,2,3d5.(6S).7s,g 5S,2,,,L808
Fe,1,4439.5890,417,8.5e+06,D,3.68638944,6.47908516,3d6.(5D).4s.4p.(3P*),z 5P*,1,3d6.(5D).4s (4D).5s,g 5D,0,,T2578n,L11631
Na,2,4439.72,130,,,,,,,,,,,,,L914
Cl,1,4439.74,100,1.4e+06,D,8.9217000,11.7143043,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,4P*,5/2,,"T1277,T694",L298
Ar,2,4440.054,1,,,23.162238164,25.95464012,3s2.3p4.(3P).4d,2F,7/2,3s2.3p4.(1D<2>).4f,2[4]*,9/2,,,L14821
V,1,4440.236,35000,,,2.36538442,5.15767273,3d4.(3F2).4s,a 2F,7/2,3d4.(3G).4p,t 4F*,9/2,,,L15916
Ti,3,4440.48,2,,,18.318652,21.110792,3p6.3d.5p,3D*,2,3p6.3d.6s,1D,2,,,L3593
Ne,2,4440.4988,180,,,34.83826076,37.6303838,2s2.2p4.(3P).3d,4P,3/2,2s2.2p4.(3P<1>).4f,2[2]*,5/2,,,L5951
Cr,1,4440.59,4wh,,,3.32301220,6.1150957,3d5.(6S).4p,z 5P*,1,3d5.(6S).7s,g 5S,2,,,L808
V,2,4440.650,40,,,2.22067040,5.01269203,3d4,a 1G2,4,3d3.(4F).4p,z 3F*,4,,,L8201c179
Ne,2,4440.7073,180,,,34.83826076,37.6302529,2s2.2p4.(3P).3d,4P,3/2,2s2.2p4.(3P<1>).4f,2[2]*,3/2,,,L5951
Ar,2,4440.70744,95,,,21.492402391,24.28439443,3s2.3p4.(1D).4p,2D*,3/2,3s2.3p4.(1D).5s,2D,3/2,,,L11520
Fe,1,4440.880,219bl*,,,4.54850612,7.340389,3d7.(4F).4p,y 3F*,4,3d7.(4F).5d,3G,4,,,L11631
Fe,1,4440.880,219bl*,7.9e+04,E,3.04686890,5.83875215,3d7.(2G).4s,a 1G,4,3d6.(3F2).4s.4p.(3P*),x 3F*,3,,T2578n,L11631
S,3,4441.072,12,3.63e+06,B,18.294067,21.085835,3s2.3p.3d,3D*,1,3s2.3p.4p,3D,2,,T7942c84,L11011
Ar,2,4441.1251,22,,,21.492402391,24.284131501,3s2.3p4.(1D).4p,2D*,3/2,3s2.3p4.(1D).5s,2D,5/2,,,L11520
Fe,1,4441.1270,680,6.73e+04,B,2.27860466,5.07033256,3d6.4s2,a 3P2,2,3d6.(3P2).4s.4p.(3P*),z 5S*,2,,T4187,L11631
Ne,2,4441.2379,180,,,34.77428890,37.5659481,2s2.2p4.(3P).3d,2D,3/2,2s2.2p4.(3P<2>).4f,2[1]*,3/2,,,L5951
Ar,2,4441.3678,13,,,19.801086565,22.592663597,3s2.3p4.(3P).4p,2P*,1/2,3s2.3p4.(3P).5s,4P,3/2,,,L11520
Ti,1,4441.585,330q,,,1.87316703,4.6646048,3d3.(2G).4s,a 3G,3,3d.4s2.4p,x 1F*,3,,,L10989
Ne,1,4441.610,150*,,,18.63679156,21.428214,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<3/2>).10d,2[5/2]*,2,,,L3469
Ne,1,4441.610,150*,,,18.63679156,21.428220,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<3/2>).10d,2[5/2]*,3,,,L3469
V,2,4441.639,590,7.2e+06,D+,4.0045986,6.7960061,3d4,d 3P1,1,3d3.(2D2).4p,x 3P*,0,,T9770,L10089c179
Fe,2,4441.675,240,,,6.7030021,9.4943920,3d6.(3P1).4s,c 2P,1/2,3d6.(1S2).4p,x 2P*,1/2,,,L18349c145
Fe,1,4441.726,145,4.5e+05,E,3.60252504,6.39387714,3d6.(5D).4s.4p.(3P*),z 5P*,3,3d6.(5D).4s (6D).4d,e 7S,3,,T2578n,L11631
Ti,3,4441.904,4,1.2e+08,D,19.858185,22.649467,3p6.3d.4f,3P*,0,3p6.3d.(2D<5/2>).5g,2[3/2],1,,T1216,L3593
Ne,2,4442.051,80,,,31.51244241,34.3035902,2s2.2p4.(3P).3p,2P*,3/2,2s2.2p4.(1S).3s,2S,1/2,,,L1406
Ne,1,4442.059,20,,,18.63679156,21.427932,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<3/2>).10d,2[3/2]*,2,,,L3469
