element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Mn,1,3570.82,720,,,,,,,,,,,,,L3475
Cr,2,3570.8559,54,,,10.85951131,14.33162486,3d4.(5D).4d,f 6D,7/2,3d4.(5D<3>).5f,2[4]*,9/2,,,L18847
Ar,2,3570.959,3*,,,21.492402391,24.96441882,3s2.3p4.(1D).4p,2D*,3/2,3s2.3p4.(3P).5d,4F,5/2,,,L14821
Ar,2,3570.959,3*,,,19.61030789,23.08230349,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,4P,1/2,,,L14821
V,1,3570.966,25000,,,2.11454108,5.5865468,3d4.(3G).4s,a 4G,5/2,3d3.4s.(5F).5p,4G*,7/2,,,L15916
Cr,2,3571.010,34,,,10.85951131,14.33147224,3d4.(5D).4d,f 6D,7/2,3d4.(5D<3>).5f,2[3]*,7/2,,,L18847
Fe,1,3571.0294,10700,6.03e+06,B,2.42419831,5.89614419,3d6.4s2,a 3P2,1,3d7.(4P).4p,y 3S*,1,,T5720,L11631
Mn,1,3571.06,,,,,,,,,,,,,,L3475
Fe,1,3571.1169,r,6.76e+07,A,0.91460217,4.38646275,3d7.(4F).4s,a 5F,4,3d7.(4F).4p,z 3G*,5,,T3548,L11631
Fe,1,3571.2733,138000,,,2.80829367,6.28000199,3d6.(5D).4s.4p.(3P*),z 7F*,6,3d6.(5D).4s (6D).4d,e 7G,7,,,L11631
Na,2,3571.50,130,,,,,,,,,,,,,L914
Ti,1,3571.629,5,,,1.9685072,5.4398704,3d2.(3F).4s.4p.(3P*),z 5G*,2,3d3.(4F).4d,5F,1,,,L10989
Mn,2,3571.76,1,,,10.7818050,14.253040,3d4.(5D).4s.4p.(3P*),w 5P*,1,3d5.(6S).7d,5D,0,,,L562
